,序号,标题,链接,导演,评分,评价人数,简介,年份,地区,类型
0,1,肖申克的救赎,https://movie.douban.com/subject/1292052/,弗兰克·德拉邦特 Frank Darabont,9.7,3094802人评价,希望让人自由。,1994,美国,犯罪 剧情
1,2,霸王别姬,https://movie.douban.com/subject/1291546/,陈凯歌 Kaige Chen,9.6,2283885人评价,风华绝代。,1993,中国大陆 中国香港,剧情 爱情 同性
2,3,阿甘正传,https://movie.douban.com/subject/1292720/,罗伯特·泽米吉斯 Robert Zemeckis,9.5,2303334人评价,一部美国近现代史。,1994,美国,剧情 爱情
3,4,泰坦尼克号,https://movie.douban.com/subject/1292722/,詹姆斯·卡梅隆 James Cameron,9.5,2344454人评价,失去的才是永恒的。,1997,美国 墨西哥,剧情 爱情 灾难
4,5,千与千寻,https://movie.douban.com/subject/1291561/,宫崎骏 Hayao Miyazaki,9.4,2392568人评价,最好的宫崎骏，最好的久石让。,2001,日本,剧情 动画 奇幻
5,6,美丽人生,https://movie.douban.com/subject/1292063/,罗伯托·贝尼尼 Roberto Benigni,9.5,1407259人评价,最美的谎言。,1997,意大利,剧情 喜剧 爱情 战争
6,7,这个杀手不太冷,https://movie.douban.com/subject/1295644/,吕克·贝松 Luc Besson,9.4,2441224人评价,怪蜀黍和小萝莉不得不说的故事。,1994,法国 美国,剧情 动作 犯罪
7,8,星际穿越,https://movie.douban.com/subject/1889243/,克里斯托弗·诺兰 Christopher Nolan,9.4,2016608人评价,爱是一种力量，让我们超越时空感知它的存在。,2014,美国 英国 加拿大,剧情 科幻 冒险
8,9,盗梦空间,https://movie.douban.com/subject/3541415/,克里斯托弗·诺兰 Christopher Nolan,9.4,2202385人评价,诺兰给了我们一场无法盗取的梦。,2010,美国 英国,剧情 科幻 悬疑 冒险
9,10,楚门的世界,https://movie.douban.com/subject/1292064/,彼得·威尔 Peter Weir,9.4,1874659人评价,如果再也不能见到你，祝你早安，午安，晚安。,1998,美国,剧情 科幻
10,11,辛德勒的名单,https://movie.douban.com/subject/1295124/,史蒂文·斯皮尔伯格 Steven Spielberg,9.5,1189567人评价,拯救一个人，就是拯救整个世界。,1993,美国,剧情 历史 战争
11,12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,莱塞·霍尔斯道姆 Lasse Hallström,9.4,1472572人评价,永远都不能忘记你所爱的人。,2009,美国 英国,剧情
12,13,海上钢琴师,https://movie.douban.com/subject/1292001/,朱塞佩·托纳多雷 Giuseppe Tornatore,9.3,1787274人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,1998,意大利,剧情 音乐
13,14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,拉库马·希拉尼 Rajkumar Hirani,9.2,1971717人评价,英俊版憨豆，高情商版谢耳朵。,2009,印度,剧情 喜剧 爱情 歌舞
14,15,放牛班的春天,https://movie.douban.com/subject/1291549/,克里斯托夫·巴拉蒂 Christophe Barratier,9.3,1398643人评价,天籁一般的童声，是最接近上帝的存在。,2004,法国 瑞士 德国,剧情 音乐
15,16,机器人总动员,https://movie.douban.com/subject/2131459/,安德鲁·斯坦顿 Andrew Stanton,9.3,1403749人评价,小瓦力，大人生。,2008,美国,科幻 动画 冒险
16,17,疯狂动物城,https://movie.douban.com/subject/25662329/,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,9.2,2102300人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016,美国,喜剧 动画 冒险
17,18,无间道,https://movie.douban.com/subject/1307914/,刘伟强 / 麦兆辉,9.3,1471352人评价,香港电影史上永不过时的杰作。,2002,中国香港,剧情 犯罪 惊悚
18,19,控方证人,https://movie.douban.com/subject/1296141/,比利·怀尔德 Billy Wilder,9.6,642857人评价,比利·怀德满分作品。,1957,美国,剧情 犯罪 悬疑 惊悚
19,20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,刘镇伟 Jeffrey Lau,9.2,1624888人评价,一生所爱。,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
20,21,熔炉,https://movie.douban.com/subject/5912992/,黄东赫 Dong-hyuk Hwang,9.3,989033人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011,韩国,剧情
21,22,教父,https://movie.douban.com/subject/1291841/,弗朗西斯·福特·科波拉 Francis Ford Coppola,9.3,1040537人评价,千万不要记恨你的对手，这样会让你失去理智。,1972,美国,剧情 犯罪
22,23,触不可及,https://movie.douban.com/subject/6786002/,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,9.3,1212468人评价,满满温情的高雅喜剧。,2011,法国,剧情 喜剧
23,24,寻梦环游记,https://movie.douban.com/subject/20495023/,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,9.1,1828728人评价,死亡不是真的逝去，遗忘才是永恒的消亡。,2017,美国,喜剧 动画 奇幻 音乐
24,25,当幸福来敲门,https://movie.douban.com/subject/1849031/,加布里尔·穆奇诺 Gabriele Muccino,9.2,1609953人评价,平民励志片。,2006,美国,剧情 传记 家庭
